no,userstory
۲۳۵,"به عنوان یک کاربر من می‌خواهم وقتی ایمیل نادرست وارد می‌کنم، سیستم به طور دقیق بگوید که چرا ایمیل معتبر نیست (مثلاً فرمت اشتباه) تا بتوانم مشکل را سریعاً شناسایی کرده و آن را اصلاح کنم. "
۲۳۶,"به عنوان یک کاربر من می‌خواهم زمانی که فرم را به طور ناقص پر می‌کنم، سیستم از ارسال آن جلوگیری کرده و از من بخواهد که تمامی فیلدهای ضروری را پر کنم تا بتوانم از ارسال اطلاعات ناقص و نادرست جلوگیری کنم. "
۲۳۷,"به عنوان یک کاربر من می‌خواهم زمانی که اطلاعات نامعتبر را وارد کنم (مثل ایمیل نادرست یا پسورد ضعیف)، سیستم به من پیامی دقیق و قابل فهم نشان دهد تا بتوانم سریعاً مشکل را شناسایی کرده و آن را اصلاح کنم. "
۲۳۸,"به عنوان یک کاربر من می‌خواهم اگر در وارد کردن اطلاعات دچار اشتباه تایپی شوم، سیستم پیشنهاد اصلاح آن را به من بدهد تا بتوانم بدون اتلاف وقت خطاها را برطرف کنم. "
۲۳۹,"به عنوان یک کاربر من می‌خواهم زمانی که قصد وارد کردن اطلاعاتی که قبلاً وارد کرده‌ام را داشته باشم، سیستم هشدار دهد تا بتوانم از وارد کردن داده‌های تکراری جلوگیری کنم. "
۲۴۰,"به عنوان یک کاربر من می‌خواهم زمانی که یک فرم را اشتباه پر کنم، سیستم به من بگوید کدام فیلدها نادرست است و چه تغییراتی باید بدهم تا بتوانم به راحتی فرم را اصلاح کرده و ارسال کنم. "
۲۴۱,"به عنوان یک کاربر من می‌خواهم اگر در وارد کردن نام کاربری یا پسورد خطا کنم، سیستم به من پیام خطای واضحی نشان دهد تا بتوانم به راحتی مشکل را رفع کرده و وارد حساب کاربری خود شوم. "
۲۴۲,"به عنوان یک مشتری من می‌خواهم اگر در هنگام پرداخت آنلاین مشکلی پیش آید (مثلاً کارت بانکی غیرمجاز باشد)، سیستم دلیل خطا را به من نشان دهد تا بتوانم مشکل را شناسایی کرده و آن را رفع کنم. "
۲۴۳,"به عنوان یک کاربر من می‌خواهم در صورتی که اشتباهی در مرحله‌ای از فرآیند ثبت‌نام یا خرید کردم، امکان بازگشت به مرحله قبلی برای اصلاح اطلاعات را داشته باشم تا بتوانم فرآیند را بدون شروع دوباره از ابتدا تکمیل کنم. "
۲۴۴,به عنوان یک مدیر سیستم من می‌خواهم سیستم از من خواسته تأیید برای انجام هرگونه اقدام خطرناک (مثل حذف دائمی داده‌ها یا تغییرات مهم) را دریافت کند تا بتوانم از اشتباهات یا اقدام ناخواسته جلوگیری کنم. 
۲۴۵,"به عنوان یک کاربر من می‌خواهم اگر هنگام وارد کردن تاریخ یا شماره تلفن خطا کنم، سیستم به من پیشنهادات اصلاحی بدهد تا بتوانم به راحتی ورودی صحیح را وارد کنم و از مشکلات بعدی جلوگیری شود. "
۲۴۶,"به عنوان یک کاربر من می‌خواهم اگر فرم را به طور ناقص پر کرده باشم، سیستم مانع ارسال آن شود و من را به پر کردن بخش‌های خالی هدایت کند تا بتوانم فرم صحیح و کامل را ارسال کنم. "
۲۴۷,"به عنوان یک کاربر من می‌خواهم وقتی اطلاعات نامعتبر مانند آدرس ایمیل اشتباه وارد می‌کنم، سیستم پیامی واضح برای من نمایش دهد و من را از وارد کردن مجدد اطلاعات صحیح مطلع کند تا بتوانم اطلاعات صحیح را وارد کرده و از ارسال فرم یا ادامه فرآیند جلوگیری کنم. "
۲۴۸,"به عنوان یک کاربر من می‌خواهم وقتی رمز عبور کوتاه‌تر از حد استاندارد باشد، سیستم به من هشدار دهد تا بتوانم رمز عبور کافی و ایمن ایجاد کرده و مراحل ثبت‌نام یا تغییر رمز عبور را به درستی انجام دهم. "
۲۴۹,"به عنوان یک کاربر من می‌خواهم وقتی که قبل از ارسال فرم شرایط و قوانین را نپذیرفته‌ام، سیستم به من هشدار دهد که ابتدا باید شرایط را بپذیرم تا بتوانم از ارسال فرم ناقص جلوگیری کرده و مطمئن شوم که تمامی مراحل به درستی انجام می‌شود. "
۲۵۰,"به عنوان یک کاربر من می‌خواهم وقتی که شماره تلفن را به شکل نادرست وارد می‌کنم (مثلاً بدون کد کشور یا به صورت اشتباه)، سیستم به من پیام خطا نمایش دهد تا بتوانم شماره تلفن صحیح را وارد کنم و از ارسال اطلاعات اشتباه جلوگیری شود. "
۲۵۱,"به عنوان یک کاربر من می‌خواهم وقتی که رمز عبور ضعیف و غیر ایمن وارد می‌کنم، سیستم بازخورد لحظه‌ای به من بدهد و من را از ایجاد یک رمز عبور ضعیف آگاه کند تا بتوانم یک رمز عبور قوی و امن انتخاب کنم و از خطرات امنیتی جلوگیری کنم. "
۲۵۲,"به عنوان یک کاربر من می‌خواهم اگر اطلاعاتی که وارد می‌کنم (مانند شماره تلفن یا ایمیل) قبلاً در سیستم ثبت شده باشد، پیام خطای واضحی نمایش داده شود تا بتوانم از وارد کردن اطلاعات تکراری جلوگیری کنم و به‌راحتی فرآیند ثبت‌نام را ادامه دهم. "
۲۵۳,"به عنوان یک کاربر من می‌خواهم وقتی که تاریخ را به‌صورت نامعتبر (مثل 30 فوریه) وارد می‌کنم، سیستم پیامی به من نمایش دهد که نشان دهد تاریخ وارد شده صحیح نیست تا بتوانم تاریخ درست را وارد کرده و مشکل را برطرف کنم. "
۲۵۴,"به عنوان یک کاربر من می‌خواهم وقتی که یک فیلد عددی را با داده غیر عددی (مانند حروف) پر کنم، سیستم هشدار دهد که تنها اعداد مجاز هستند تا بتوانم ورودی صحیح را وارد کرده و فرم را به‌درستی ارسال کنم. "
۲۵۵,"به عنوان یک کاربر من می‌خواهم بعد از ارسال فرم، اگر خطایی در پردازش اطلاعات رخ دهد، سیستم پیامی واضح به من نمایش دهد که از مشکل آگاه شوم تا بتوانم مشکل را سریعاً شناسایی کرده و آن را رفع کنم. "
۲۵۶,"به عنوان یک کاربر من می‌خواهم پس از ارسال فرم، سیستم پیامی به من نمایش دهد که نشان دهد اطلاعات به‌درستی ارسال شده و درخواست من ثبت شده است تا بتوانم از انجام صحیح فرآیند مطمئن شوم و از نگرانی بابت ارسال نادرست جلوگیری کنم. "
۲۵۷,"به عنوان یک کاربر من می‌خواهم اگر در فرم‌های ثبت‌نام یا سفارش، فیلدی که باید پر شود را خالی بگذارم، سیستم هشدار دهد که این فیلد الزامی است تا بتوانم فرم را به‌طور کامل و صحیح پر کرده و بدون مشکل ارسال کنم. "
۲۵۸,"به عنوان یک کاربر من می‌خواهم زمانی که پسوردها را اشتباه وارد کنم و با هم تطابق نداشته باشند، سیستم پیامی به من نشان دهد که حاکی از عدم تطابق باشد تا بتوانم پسوردها را اصلاح کرده و ثبت‌نام را ادامه دهم. "
۲۵۹,"به عنوان یک کاربر من می‌خواهم اگر در حین ویرایش پروفایل خود اطلاعات ضروری (مثل شماره تماس یا آدرس) را وارد نکنم، سیستم از من بخواهد تا تمام فیلدهای ضروری را پر کنم تا بتوانم پروفایل خود را با اطلاعات کامل ذخیره کنم. "
۲۶۰,"به عنوان یک کاربر من می‌خواهم زمانی که داده‌ای را در فرمت اشتباه (مثل وارد کردن فرمت نادرست تاریخ یا تلفن) وارد می‌کنم، سیستم پیامی به من نمایش دهد که نشان دهد باید اطلاعات را به درستی وارد کنم تا بتوانم داده‌های صحیح را وارد کرده و فرآیند را بدون مشکل ادامه دهم. "
۲۶۱,"به عنوان یک کاربر من می‌خواهم اگر تعداد کاراکترهایی که وارد می‌کنم از حد مجاز بیشتر باشد، سیستم پیامی واضح به من نمایش دهد تا بتوانم تعداد کاراکترها را اصلاح کرده و وارد کنم. "
۲۶۲,"به عنوان یک کاربر من می‌خواهم زمانی که اتصال اینترنت قطع است و نمی‌توانم اطلاعات را ارسال کنم، سیستم پیامی به من نمایش دهد که اتصال برقرار نیست تا بتوانم از قطع شدن ارتباط مطلع شوم و تلاش کنم تا اتصال اینترنت را برقرار کنم. "
۲۶۳,"به عنوان یک کاربر من می‌خواهم وقتی سنی کمتر از حد مجاز وارد می‌کنم، سیستم پیامی به من بدهد که اعلام کند این سن برای استفاده از سرویس مجاز نیست تا بتوانم سن خود را اصلاح کرده و از استفاده از سرویس مطمئن شوم. "
۲۶۴,"به عنوان یک کاربر من می‌خواهم زمانی که قصد بارگذاری فایلی با فرمت نادرست را دارم (مثلاً فرمت غیر از PDF یا JPEG)، سیستم پیامی نمایش دهد و به من بگوید که فرمت فایل غیرمجاز است تا بتوانم فایل صحیح را بارگذاری کرده و از ادامه فرآیند جلوگیری کنم. "
۲۶۵,"به عنوان یک کاربر من می‌خواهم وقتی در فیلدی که فقط باید حروف وارد کنم، داده‌های عددی وارد می‌کنم، سیستم پیامی نمایش دهد که من را از وارد کردن این داده‌ها منع کند تا بتوانم داده‌های صحیح را وارد کرده و فرم را به درستی تکمیل کنم. "
۲۶۶,"به عنوان یک کاربر من می‌خواهم وقتی شماره کارت اعتباری یا اطلاعات بانکی خود را اشتباه وارد کنم، پیامی دریافت کنم که به من بگوید این اطلاعات صحیح نیست تا بتوانم اطلاعات درست را وارد کرده و تراکنش را ادامه دهم. "
۲۶۷,"به عنوان یک کاربر من می‌خواهم اگر فیلدهای ضروری فرم را خالی بگذارم، سیستم پیامی نمایش دهد که من را مطلع کند و به من بگوید این فیلدها باید پر شوند تا بتوانم فرم را به‌طور کامل و صحیح ارسال کنم. "
۲۶۸,"به عنوان یک کاربر من می‌خواهم زمانی که به یک فیلد خاص نیاز به اطلاعات خاص دارم (مثلاً فرمت تاریخ)، راهنمایی یا مثال در کنار فیلد نمایش داده شود تا بتوانم به‌راحتی اطلاعات صحیح را وارد کرده و خطاها را کاهش دهم. "
۲۶۹,"به عنوان یک کاربر من می‌خواهم زمانی که رمز عبور ضعیف وارد می‌کنم، سیستم پیامی نمایش دهد که به من بگوید رمز عبور باید شامل ترکیب حروف بزرگ، حروف کوچک، اعداد و نمادها باشد تا بتوانم رمز عبور قوی‌تری وارد کرده و از مشکلات امنیتی جلوگیری کنم. "
۲۷۰,"به عنوان یک کاربر من می‌خواهم زمانی که تاریخ ورودی اشتباه است (مثلاً تاریخ گذشته وارد می‌شود)، سیستم پیامی نمایش دهد و اجازه ندهد که فرم ارسال شود تا بتوانم تاریخ صحیح را وارد کرده و ارسال را انجام دهم. "
۲۷۱,"به عنوان یک کاربر من می‌خواهم زمانی که اتصال اینترنت من قطع می‌شود یا به درستی برقرار نمی‌شود، سیستم پیامی نمایش دهد که به من بگوید اتصال به اینترنت برقرار نیست تا بتوانم اتصال اینترنت خود را بررسی کرده و دوباره تلاش کنم. "
۲۷۲,"به عنوان یک کاربر من می‌خواهم اگر ایمیلی که وارد می‌کنم نامعتبر باشد (مانند ""example@domain""), سیستم پیامی واضح نمایش دهد که ایمیل وارد شده اشتباه است تا بتوانم ایمیل صحیح را وارد کرده و فرآیند ثبت‌نام را ادامه دهم. "
۲۷۳,"به عنوان یک کاربر من می‌خواهم زمانی که تاریخ تولدم را وارد می‌کنم و تاریخی در آینده انتخاب می‌کنم، سیستم پیامی نمایش دهد که به من بگوید این تاریخ نادرست است تا بتوانم تاریخ تولد صحیح را وارد کرده و فرم را به درستی ارسال کنم. "
۲۷۴,"به عنوان یک کاربر من می‌خواهم زمانی که سوال یا مشکلی دارم، به راحتی به پشتیبانی آنلاین دسترسی پیدا کنم و بتوانم به سرعت پاسخ دریافت کنم تا بتوانم تجربه کاربری بهتری داشته باشم و زمانم صرف حل مشکل نشود. "
۲۷۵,"به عنوان یک کاربر من می‌خواهم بتوانم به راحتی و بدون نیاز به جستجوی زیاد، به تمام بخش‌های اصلی سایت یا اپلیکیشن دسترسی پیدا کنم تا بتوانم تجربه راحت و بدون استرسی داشته باشم و سریعتر به هدفم برسم. "
۲۷۶,"به عنوان یک کاربر من می‌خواهم زمانی که درخواست یا عملیاتی در حال پردازش است (مثل ارسال فرم یا پرداخت)، یک پیام واضح مبنی بر پردازش بودن آن دریافت کنم تا بتوانم احساس اطمینان داشته باشم که فرآیند در حال انجام است و منتظر نتیجه باشم. "
۲۷۷,"به عنوان یک کاربر من می‌خواهم زمانی که خطایی در وارد کردن اطلاعات انجام می‌دهم، فوراً پیامی به من داده شود که علت مشکل و راه‌حل آن را توضیح دهد تا بتوانم خطای خود را اصلاح کرده و فرآیند را ادامه دهم. "
۲۷۸,به عنوان یک کاربر من می‌خواهم این امکان را داشته باشم که به راحتی تنظیمات و اولویت‌های صفحه یا اپلیکیشن خود را تغییر دهم تا بتوانم تجربه کاربری خود را به شکلی که برای من راحت‌تر است تنظیم کنم. 
۲۷۹,به عنوان یک کاربر من می‌خواهم تجربه کاربری یکسان و راحت را چه در کامپیوتر و چه در موبایل داشته باشم تا بتوانم بدون مشکل از هر دستگاهی برای دسترسی به سرویس استفاده کنم. 
۲۸۰,"به عنوان یک کاربر من می‌خواهم اگر چیزی را فراموش کرده باشم (مثلاً تکمیل نکردن فرمی یا انجام ندادن یک اقدام ضروری)، به طور خودکار یک یادآوری دریافت کنم تا بتوانم از انجام کارهای ضروری بازنمانم و از زمان خود به‌طور بهینه استفاده کنم. "
۲۸۱,به عنوان یک کاربر من می‌خواهم صفحات و اطلاعات به سرعت بارگذاری شوند تا تجربه من در استفاده از سایت یا اپلیکیشن بی‌وقفه و بدون معطلی باشد تا بتوانم زمان خود را صرف انجام کارهای مهم‌تر کنم و از سرعت بالا و کارایی لذت ببرم. 
۲۸۲,به عنوان یک کاربر من می‌خواهم بتوانم به راحتی نظر یا بازخورد خود را در مورد محصول یا سرویس ارائه شده به اشتراک بگذارم تا بتوانم نظر خود را بیان کرده و باعث بهبود بیشتر محصول یا سرویس شوم. 
۲۸۳,"به عنوان یک کاربر من می‌خواهم تمامی دستورالعمل‌ها، پیغام‌ها و اطلاعات در سیستم به زبان ساده و قابل فهم باشد تا بتوانم بدون نیاز به توضیحات بیشتر، از سیستم استفاده کنم و دچار سردرگمی نشوم. "
۲۸۴,"به عنوان یک مشتری من می‌خواهم در هر زمان که به کمک نیاز دارم، به راحتی به پشتیبانی آنلاین دسترسی پیدا کنم تا بتوانم سریعاً مشکل خود را حل کنم و تجربه بهتری داشته باشم. "
۲۸۵,به عنوان یک کاربر ثبت‌نام‌کرده من می‌خواهم قابلیت شخصی‌سازی پروفایل خود مانند تغییر تصویر پروفایل یا تنظیمات نمایش را داشته باشم تا بتوانم تجربه‌ای شخصی‌تر و متناسب با نیاز خود داشته باشم. 
۲۸۶,به عنوان یک مدیر محصول من می‌خواهم کاربران را تشویق کنم که بازخورد درباره تجربه کاربری خود ارائه دهند تا بتوانم نقاط ضعف و قوت را شناسایی و بهبود‌های لازم را انجام دهم. 
۲۸۷,به عنوان یک خریدار آنلاین من می‌خواهم فرآیند خرید بدون پیچیدگی و با مراحل کم انجام شود تا بتوانم خرید سریع و بدون دردسر داشته باشم. 
۲۸۸,به عنوان یک کاربر جدید من می‌خواهم سیستم به طور خودکار اطلاعات من را از قبل ذخیره کرده باشد و مجبور نباشم هر بار آن‌ها را وارد کنم تا بتوانم سرعت بیشتری در استفاده از سیستم داشته باشم. 
۲۸۹,به عنوان یک خریدار آنلاین من می‌خواهم در هر مرحله از پردازش سفارش خود اعلان وضعیت دریافت کنم تا بتوانم از وضعیت سفارش خود آگاه باشم و احساس امنیت بیشتری داشته باشم. 
۲۹۰,به عنوان یک کاربر حساب بانکی من می‌خواهم به راحتی به تاریخچه تراکنش‌های خود دسترسی داشته باشم تا بتوانم مدیریت بهتری بر هزینه‌ها و درآمدهای خود داشته باشم. 
۲۹۱,"به عنوان یک کاربر غیر اشتراکی من می‌خواهم هنگام استفاده از سرویس، تبلیغات مزاحم نداشته باشم تا بتوانم بدون حواس‌پرتی از خدمات استفاده کنم و تجربه بهتری داشته باشم. "
۲۹۲,به عنوان یک کاربر واردشده من می‌خواهم فرآیند ورود به سیستم بدون نیاز به تایپ رمز عبور طولانی انجام شود (مثلاً با استفاده از ورود با اثر انگشت) تا بتوانم به راحتی وارد سیستم شوم و وقت خود را صرف امور مهم‌تر کنم. 
۲۹۳,"به عنوان یک کاربر جدید من می‌خواهم در هر زمانی که دچار سردرگمی شوم، به راحتی به بخش راهنما یا سوالات متداول دسترسی پیدا کنم تا بتوانم سریع‌تر مشکل خود را حل کنم و از تجربیات دیگران بهره ببرم. "
۲۹۴,"به عنوان یک خریدار آنلاین من می‌خواهم زمانی که وارد سایت می‌شوم، پیشنهادات مرتبط با خریدهای قبلی‌ام و علایقم را مشاهده کنم تا بتوانم خریدهای سریع‌تر و متناسب‌تری داشته باشم. "
۲۹۵,"به عنوان یک کاربر در حال خرید من می‌خواهم وقتی در صفحه‌ای هستم و نیاز به برگشت به صفحه قبلی دارم، گزینه‌ای برای بازگشت بدون از دست دادن اطلاعات وارد شده داشته باشم تا بتوانم تجربه خرید روان‌تری داشته باشم و از سردرگمی جلوگیری کنم. "
۲۹۶,"به عنوان یک کاربر جدید من می‌خواهم در فرآیند ثبت‌نام، راهنمایی‌هایی برای تکمیل فرم‌ها و اطلاعات مورد نیاز مشاهده کنم تا بتوانم فرم را به درستی و بدون اشتباه پر کنم و فرایند ثبت‌نام سریع و آسان باشد. "
۲۹۷,"به عنوان یک کاربر من می‌خواهم پس از انجام هر فعالیتی (مثل خرید، ارسال فرم، تغییر اطلاعات حساب) یک پیام تأیید دریافت کنم تا بتوانم از صحت انجام کار مطمئن شوم و احساس رضایت بیشتری داشته باشم. "
۲۹۸,"به عنوان یک کاربر بازگشتی من می‌خواهم بعد از ورود مجدد به سایت، آخرین جایی که در آن بوده‌ام (مثل سبد خرید یا صفحه پروفایل) حفظ شود تا بتوانم سریع‌تر به ادامه فرآیند بپردازم و تجربه راحت‌تری داشته باشم. "
۲۹۹,به عنوان یک خریدار آنلاین من می‌خواهم امکان مقایسه ویژگی‌های محصولات مختلف را داشته باشم تا بتوانم بهترین گزینه را بر اساس نیاز خود انتخاب کنم و تصمیم‌گیری راحت‌تری داشته باشم. 
۳۰۰,به عنوان یک کاربر من می‌خواهم بتوانم برای محصولات خاص یادآوری تنظیم کنم (مثلاً برای خرید مجدد) تا بتوانم فراموش نکنم که چه زمانی باید محصول مورد نظر را دوباره خریداری کنم. 
۳۰۱,"به عنوان یک کاربر موبایل من می‌خواهم تجربه کاربری راحت و بدون مشکل را در دستگاه‌های موبایل داشته باشم تا بتوانم بدون نیاز به بزرگ‌نمایی یا جابجایی زیاد، به راحتی از سایت یا اپلیکیشن استفاده کنم. "
۳۰۲,"به عنوان یک خریدار آنلاین من می‌خواهم فرآیند پرداخت سریع و ساده باشد، به طوری که اطلاعات پرداختم از قبل ذخیره شده باشد یا از پرداخت سریع استفاده کنم تا بتوانم خرید خود را به راحتی و در کمترین زمان ممکن انجام دهم. "
۳۰۳,به عنوان یک کاربر بین‌المللی من می‌خواهم بتوانم زبان مورد نظر خود را انتخاب کنم تا از سایت یا اپلیکیشن به راحتی استفاده کنم تا بتوانم تجربه بهتری داشته باشم و نیازی به ترجمه نداشته باشم. 
